//File Created from Spray glider sat file
//File updated on 06/26/2025 10:29
//Float ID: 25420901
//WMO ID: 25420901
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	b_bp700[1/m]	QF	pHinsitu[Total]	QF	b_bp532[1/m]	QF	CDOM[ppb]	QF	TALK_CANYONB[µmol/kg]	QF	DIC_CANYONB[µmol/kg]	QF	pCO2_CANYONB[µatm]	QF	SAT_AR_CANYONB[]	QF	pH25C_1atm[Total]	QF	DOWNWELL_PAR[µmol Quanta/m^2/sec]	QF	DOWN_IRRAD380[W/m^2/nm]	QF	DOWN_IRRAD443[W/m^2/nm]	QF	DOWN_IRRAD490[W/m^2/nm]	QF	VRS[Volts]	QF	VRS_STD[Volts]	QF	VK[Volts]	QF	VK_STD[Volts]	QF	IK[nA]	QF	Ib[nA]	QF	PHIN_CANYONB[Total]	QF
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	2.20	0	20.1741	0	36.2391	0	1025.665	0	2.184	0	213.49	0	95.8	0	-1e10	0	0.4265	0	-1e10	0	8.1515	0	-1e10	0	-1e10	0	2378	0	2037	0	304.1	0	3.644	0	8.0782	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.919100	0	0.000012	0	-0.973400	0	0.000015	0	38.10	0	-0.08	0	8.0772	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	6.30	0	20.1487	0	36.2670	0	1025.693	0	6.254	0	212.75	0	95.5	0	-1e10	0	0.5130	0	-1e10	0	8.1504	0	-1e10	0	-1e10	0	2379	0	2039	0	305.1	0	3.635	0	8.0768	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.919190	0	0.000008	0	-0.978100	0	0.000010	0	37.90	0	-0.10	0	8.0765	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	9.80	0	20.1140	0	36.2595	0	1025.697	0	9.728	0	211.92	0	95.0	0	-1e10	0	1.2298	0	-1e10	0	8.1478	0	-1e10	0	-1e10	0	2378	0	2040	0	307.1	0	3.613	0	8.0739	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.919340	0	0.000011	0	-0.979900	0	0.000010	0	36.80	0	-0.07	0	8.0751	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	13.80	0	20.0750	0	36.2505	0	1025.701	0	13.699	0	211.85	0	94.9	0	-1e10	0	0.6523	0	-1e10	0	8.1438	0	-1e10	0	-1e10	0	2378	0	2043	0	310.6	0	3.580	0	8.0695	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.919580	0	0.000009	0	-0.981200	0	0.000015	0	38.10	0	-0.10	0	8.0747	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	17.80	0	19.9060	0	36.2090	0	1025.714	0	17.669	0	212.70	0	95.0	0	-1e10	0	0.7082	0	-1e10	0	8.1389	0	-1e10	0	-1e10	0	2376	0	2046	0	314.8	0	3.525	0	8.0622	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.919940	0	0.000010	0	-0.981800	0	0.000009	0	38.60	0	-0.08	0	8.0750	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	21.70	0	19.5593	0	36.0700	0	1025.700	0	21.541	0	214.42	0	95.1	0	-1e10	0	0.8195	0	-1e10	0	8.1323	0	-1e10	0	-1e10	0	2369	0	2048	0	320.2	0	3.429	0	8.0506	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.920450	0	0.000014	0	-0.982100	0	0.000011	0	38.40	0	-0.08	0	8.0743	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	25.60	0	19.1347	0	35.9310	0	1025.704	0	25.412	0	216.93	0	95.4	0	-1e10	0	0.9115	0	-1e10	0	8.1211	0	-1e10	0	-1e10	0	2362	0	2054	0	330.1	0	3.299	0	8.0331	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.921290	0	0.000010	0	-0.982400	0	0.000008	0	36.50	0	-0.08	0	8.0742	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	29.80	0	18.5020	0	35.6800	0	1025.674	0	29.581	0	219.45	0	95.2	0	-1e10	0	0.9900	0	-1e10	0	8.0994	0	-1e10	0	-1e10	0	2350	0	2062	0	349.8	0	3.082	0	8.0023	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.922790	0	0.000013	0	-0.982700	0	0.000008	0	35.00	0	-0.08	0	8.0704	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	34.00	0	14.5933	0	34.7160	0	1025.847	0	33.749	0	234.65	0	93.8	0	-1e10	0	1.1530	0	-1e10	0	8.1148	0	-1e10	0	-1e10	0	2306	0	2053	0	332.1	0	2.694	0	7.9586	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.923990	0	0.000013	0	-0.982300	0	0.000012	0	37.00	0	-0.07	0	8.0406	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	38.90	0	12.6924	0	34.3573	0	1025.961	0	38.613	0	230.43	0	88.4	0	-1e10	0	0.8810	0	-1e10	0	8.0786	0	-1e10	0	-1e10	0	2288	0	2072	0	364.0	0	2.324	0	7.8946	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.927140	0	0.000024	0	-0.983900	0	0.000012	0	36.10	0	-0.08	0	7.9933	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	42.10	0	10.3900	0	33.9688	0	1026.084	0	41.789	0	232.32	0	84.7	0	-1e10	0	0.5087	0	-1e10	0	8.0766	0	-1e10	0	-1e10	0	2269	0	2073	0	362.6	0	2.105	0	7.8582	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.928610	0	0.000013	0	-0.984900	0	0.000007	0	34.60	0	-0.04	0	7.9437	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	45.40	0	9.9145	0	33.9060	0	1026.116	0	45.064	0	229.24	0	82.7	0	-1e10	0	1.1022	0	-1e10	0	8.0737	0	-1e10	0	-1e10	0	2266	0	2075	0	364.7	0	2.052	0	7.8483	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.929060	0	0.000014	0	-0.985700	0	0.000011	0	36.80	0	-0.07	0	7.9269	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	48.50	0	10.8850	0	34.1435	0	1026.133	0	48.141	0	223.43	0	82.4	0	-1e10	0	0.3730	0	-1e10	0	8.0595	0	-1e10	0	-1e10	0	2277	0	2084	0	380.3	0	2.083	0	7.8494	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.929330	0	0.000012	0	-0.985900	0	0.000008	0	36.20	0	-0.09	0	7.9442	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	52.60	0	10.2445	0	34.0725	0	1026.190	0	52.210	0	223.10	0	81.1	0	-1e10	0	0.2491	0	-1e10	0	8.0554	0	-1e10	0	-1e10	0	2273	0	2087	0	383.5	0	2.013	0	7.8359	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.929960	0	0.000011	0	-0.986300	0	0.000007	0	36.20	0	-0.07	0	7.9312	0
