	Model	SN	O2Concentration[uM]	AirSaturation[%]	Temperature[Deg.C]	CalPhase[Deg]	TCPhase[Deg]	C1RPh[Deg]	C2RPh[Deg]	C1Amp[mV]	C2Amp[mV]	RawTemp[mV]
2025-05-22 15:52:42.706	4330	4311	3.19E+02	1.01E+02	1.51E+01	3.10E+01	3.20E+01	3.95E+01	7.48E+00	7.52E+02	8.53E+02	3.95E+02
2025-05-22 15:52:42.706												
2025-05-22 15:52:42.706	4330	4311	3.19E+02	1.01E+02	1.51E+01	3.10E+01	3.20E+01	3.95E+01	7.48E+00	7.52E+02	8.53E+02	3.95E+02
2025-05-22 15:52:42.706												
2025-05-22 15:52:42.706	4330	4311	3.19E+02	1.01E+02	1.50E+01	3.10E+01	3.20E+01	3.95E+01	7.48E+00	7.52E+02	8.53E+02	3.96E+02
2025-05-22 15:52:42.706												
2025-05-22 15:52:42.729	4330	4311	3.19E+02	1.01E+02	1.50E+01	3.10E+01	3.20E+01	3.95E+01	7.48E+00	7.52E+02	8.53E+02	3.96E+02
2025-05-22 15:52:44.833												
2025-05-22 15:52:45.137	4330	4311	3.19E+02	1.01E+02	1.50E+01	3.10E+01	3.20E+01	3.95E+01	7.48E+00	7.52E+02	8.53E+02	3.96E+02
2025-05-22 15:52:47.834												
2025-05-22 15:52:48.135	4330	4311	3.19E+02	1.01E+02	1.50E+01	3.10E+01	3.20E+01	3.95E+01	7.49E+00	7.52E+02	8.52E+02	3.95E+02
2025-05-22 15:52:50.824												
2025-05-22 15:52:51.123	4330	4311	3.19E+02	1.01E+02	1.50E+01	3.10E+01	3.20E+01	3.95E+01	7.49E+00	7.52E+02	8.52E+02	3.95E+02
2025-05-22 15:52:53.830												
2025-05-22 15:52:54.131	4330	4311	3.19E+02	1.01E+02	1.51E+01	3.10E+01	3.20E+01	3.95E+01	7.49E+00	7.52E+02	8.52E+02	3.94E+02
2025-05-22 15:52:56.821												
2025-05-22 15:52:57.127	4330	4311	3.18E+02	1.01E+02	1.51E+01	3.10E+01	3.20E+01	3.95E+01	7.49E+00	7.52E+02	8.52E+02	3.94E+02
2025-05-22 15:52:59.828												
2025-05-22 15:53:00.132	4330	4311	3.18E+02	1.01E+02	1.51E+01	3.10E+01	3.20E+01	3.95E+01	7.49E+00	7.52E+02	8.52E+02	3.93E+02
2025-05-22 15:53:02.805												
2025-05-22 15:53:03.126	4330	4311	3.18E+02	1.01E+02	1.51E+01	3.10E+01	3.20E+01	3.95E+01	7.49E+00	7.52E+02	8.52E+02	3.93E+02
2025-05-22 15:53:05.822												
2025-05-22 15:53:06.131	4330	4311	3.18E+02	1.01E+02	1.51E+01	3.10E+01	3.20E+01	3.95E+01	7.49E+00	7.52E+02	8.52E+02	3.93E+02
2025-05-22 15:53:08.812												
2025-05-22 15:53:09.119	4330	4311	3.18E+02	1.01E+02	1.51E+01	3.10E+01	3.20E+01	3.95E+01	7.49E+00	7.51E+02	8.52E+02	3.93E+02
2025-05-22 15:53:11.817												
2025-05-22 15:53:12.117	4330	4311	3.18E+02	1.01E+02	1.51E+01	3.10E+01	3.20E+01	3.95E+01	7.49E+00	7.51E+02	8.52E+02	3.93E+02
2025-05-22 15:53:14.808												
2025-05-22 15:53:15.116	4330	4311	3.18E+02	1.01E+02	1.51E+01	3.10E+01	3.20E+01	3.95E+01	7.49E+00	7.51E+02	8.51E+02	3.93E+02
2025-05-22 15:53:17.812												
2025-05-22 15:53:18.116	4330	4311	3.18E+02	1.01E+02	1.51E+01	3.10E+01	3.20E+01	3.95E+01	7.50E+00	7.52E+02	8.51E+02	3.93E+02
2025-05-22 15:53:20.806												
2025-05-22 15:53:21.105	4330	4311	3.19E+02	1.01E+02	1.51E+01	3.10E+01	3.20E+01	3.95E+01	7.49E+00	7.51E+02	8.51E+02	3.94E+02
2025-05-22 15:53:23.810												
2025-05-22 15:53:24.111	4330	4311	3.19E+02	1.01E+02	1.51E+01	3.10E+01	3.20E+01	3.95E+01	7.50E+00	7.51E+02	8.51E+02	3.94E+02
2025-05-22 15:53:26.800												
2025-05-22 15:53:27.100	4330	4311	3.19E+02	1.01E+02	1.51E+01	3.10E+01	3.20E+01	3.95E+01	7.50E+00	7.51E+02	8.51E+02	3.94E+02
2025-05-22 15:53:29.801												
2025-05-22 15:53:30.106	4330	4311	3.18E+02	1.01E+02	1.51E+01	3.10E+01	3.20E+01	3.95E+01	7.50E+00	7.51E+02	8.51E+02	3.93E+02
2025-05-22 15:53:32.792												
2025-05-22 15:53:33.098	4330	4311	3.18E+02	1.01E+02	1.52E+01	3.10E+01	3.20E+01	3.95E+01	7.50E+00	7.51E+02	8.51E+02	3.92E+02
2025-05-22 15:53:35.797												
2025-05-22 15:53:36.101	4330	4311	3.18E+02	1.01E+02	1.51E+01	3.10E+01	3.20E+01	3.95E+01	7.50E+00	7.51E+02	8.51E+02	3.93E+02
2025-05-22 15:53:38.790												
2025-05-22 15:53:39.090	4330	4311	3.18E+02	1.01E+02	1.51E+01	3.10E+01	3.20E+01	3.95E+01	7.50E+00	7.51E+02	8.51E+02	3.93E+02
2025-05-22 15:53:41.795												
2025-05-22 15:53:42.096	4330	4311	3.18E+02	1.01E+02	1.51E+01	3.10E+01	3.20E+01	3.95E+01	7.50E+00	7.51E+02	8.51E+02	3.93E+02
2025-05-22 15:53:44.782												
