COM,SensorID,DateTime,Temperature,Salinity,VbiasPos,Vrse,Vrse_std,Vk,Vk_std,Ik,Ib
COM3,GliderFET013,2025-08-26 17:45,15.9011,33.7319,3.63,-0.566309,2.4e-05,-0.657189,1.2e-05,9.07,-0.064
COM4,GliderFET014,2025-08-26 17:45,15.9011,33.7319,3.62,-0.599346,1.7e-05,-0.705972,1.5e-05,7.34,0.029
COM5,GliderFET015,2025-08-26 17:45,15.9011,33.7319,3.61,-0.580995,3.9e-05,-0.817807,0.000106,12.24,-0.036
COM6,GliderFET016,2025-08-26 17:45,15.9011,33.7319,3.63,-2.048,0.0,-2.048,0.0,21.91,-1.518
COM3,GliderFET013,2025-08-26 17:47,15.8757,33.7335,3.62,-0.566616,3.5e-05,-0.65875,1.5e-05,7.63,-0.059
COM4,GliderFET014,2025-08-26 17:47,15.8757,33.7335,3.62,-0.599574,2.9e-05,-0.710093,0.000206,6.2,0.022
COM5,GliderFET015,2025-08-26 17:47,15.8757,33.7335,3.61,-0.581298,4.7e-05,-0.817477,5.9e-05,11.77,0.018
COM6,GliderFET016,2025-08-26 17:47,15.8757,33.7335,3.63,-2.048,0.0,-2.048,0.0,19.43,-1.351
COM3,GliderFET013,2025-08-26 17:48,15.8823,33.733,3.62,-0.566599,3.9e-05,-0.659316,1.9e-05,10.51,-0.057
COM4,GliderFET014,2025-08-26 17:48,15.8823,33.733,3.62,-0.599485,2.6e-05,-0.710769,8.8e-05,0.7,0.021
COM5,GliderFET015,2025-08-26 17:48,15.8823,33.733,3.61,-0.581449,4.9e-05,-0.809472,7.4e-05,10.32,-0.068
COM6,GliderFET016,2025-08-26 17:48,15.8823,33.733
COM3,GliderFET013,2025-08-26 17:49,15.8931,33.7328,3.62,-0.56646,1.9e-05,-0.660209,3.1e-05,9.49,-0.031
COM4,GliderFET014,2025-08-26 17:49,15.8931,33.7328,3.62,-0.599355,2.7e-05,-0.706307,1e-05,7.03,0.028
COM5,GliderFET015,2025-08-26 17:49,15.8931,33.7328,3.61,-0.581555,3.6e-05,-0.811279,5.5e-05,13.38,0.086
COM6,GliderFET016,2025-08-26 17:49,15.8931,33.7328,3.63,-2.048,0.0,-2.048,0.0,25.8,-1.153
COM3,GliderFET013,2025-08-26 17:50,15.8861,33.7321,3.62,-0.56643,1.7e-05,-0.661116,4e-06,8.25,-0.07
COM4,GliderFET014,2025-08-26 17:50,15.8861,33.7321,3.62,-0.599343,2.6e-05,-0.707376,1.5e-05,8.04,0.019
COM5,GliderFET015,2025-08-26 17:50,15.8861,33.7321,3.61,-0.581496,6.1e-05,-0.811872,3.7e-05,10.73,-0.105
COM6,GliderFET016,2025-08-26 17:50,15.8861,33.7321,3.63,-2.048,0.0,-2.048,0.0,22.4,-1.164
COM3,GliderFET013,2025-08-26 17:51,15.8299,33.7334,3.62,-0.566677,1.5e-05,-0.661982,1.3e-05,9.24,-0.051
COM4,GliderFET014,2025-08-26 17:51,15.8299,33.7334,3.62,-0.599568,2.4e-05,-0.707929,8e-06,4.46,0.019
COM5,GliderFET015,2025-08-26 17:51,15.8299,33.7334,3.61,-0.581799,4.3e-05,-0.810691,4.1e-05,9.91,-0.058
COM6,GliderFET016,2025-08-26 17:51,15.8299,33.7334,3.63,-2.048,0.0,-2.048,0.0,26.69,-1.105
COM3,GliderFET013,2025-08-26 17:52,15.8041,33.7337,3.62,-0.566853,1.3e-05,-0.662676,3e-06,9.26,-0.026
